color,Amp,method,ra_in,dec_in,H0_fit,delta_H0_fit,ra_fit,dec_fit
m,3,clustering,252.0,45.0,69.14428039577474,-2.905749304980387,1.1589613340080835,-0.6439732828015167
m,3,clustering,252.0,45.0,69.07793483876078,-2.9819178481296453,1.1794991462900912,-0.8237383442270815
m,3,clustering,252.0,45.0,69.26232274832924,-2.7100165160339884,1.1056186214089576,-0.6280867041573891
m,3,clustering,252.0,45.0,69.15670893143927,-2.812862673430711,1.1996911559857195,-0.715075907036723
m,3,clustering,252.0,45.0,69.19975099077276,-2.6437188728745022,1.049395922057665,-0.6999602162237512
purple,3,clustering,324.0,72.0,68.9919131362258,-2.55249337650405,-0.5385052654471489,-1.758803468233854
purple,3,clustering,324.0,72.0,68.89718767187931,2.7924059250688527,-0.6278739838410885,1.3709357991351934
purple,3,clustering,324.0,72.0,68.83764491263523,3.041547145021066,-0.6055423958211604,1.2802291330043918
purple,3,clustering,324.0,72.0,68.8236193558875,3.1060518411873503,-0.422520588592134,1.2946616666325093
purple,3,clustering,324.0,72.0,68.99475464246011,2.8304876185951877,-0.827912891756236,1.2212083255565565
purple,3,clustering,324.0,72.0,69.01912399625397,2.5114716862592004,-1.0146436492070692,1.2422969165100057
purple,3,clustering,324.0,72.0,68.83656907901268,2.9628430098969667,-0.7169224536586235,1.31185147144818
purple,3,clustering,324.0,72.0,69.07052366519085,2.434461501091248,-0.9557922698392843,1.271051719333664
purple,3,clustering,324.0,72.0,69.0300520799864,2.5070500202275805,-0.7792755131148076,1.256779992822952
purple,3,clustering,324.0,72.0,69.06476067900566,-2.371635055272493,-0.7544755776389301,-1.783961189788486
brown,3,clustering,0.0,0.0,70.25606674340297,2.687674361242881,0.10861563821213398,-0.13360962114820785
brown,3,clustering,0.0,0.0,70.12963467661646,2.719696865881766,0.07794986246924107,-0.01816497096159721
brown,3,clustering,0.0,0.0,70.11827474421813,2.9554266703038237,0.005292695927960909,-0.00526093878158587
brown,3,clustering,0.0,0.0,69.96665246773577,3.041074689496622,0.062461949974383986,0.06780958635565437
brown,3,clustering,0.0,0.0,70.14702638112323,2.905394191634712,-0.05703435585403081,-0.06006019358254225
brown,3,clustering,0.0,0.0,70.29150518785131,2.6899029465794357,-0.0470302019984752,-0.19168424534303286
brown,3,clustering,0.0,0.0,70.00894136455187,2.830694538697497,0.024301825453631267,0.020941541640442575
brown,3,clustering,0.0,0.0,70.36797914005186,2.678902030159177,0.0021008301363128062,-0.24060818265013578
brown,3,clustering,0.0,0.0,70.19404521750165,2.825337439323299,0.018454166320364743,-0.12292257319884368
brown,3,clustering,0.0,0.0,70.27170992541267,2.6627074544549774,0.08809204037224311,-0.15966829220915818
pink,3,clustering,330.0,-29.999999999999996,70.73208334015483,2.7887571242456404,-0.46440094830077816,-0.674974132045722
pink,3,clustering,330.0,-29.999999999999996,70.64192750008488,2.7355526581940466,-0.49126840610766626,-0.5800023330186473
pink,3,clustering,330.0,-29.999999999999996,70.61975103404576,2.9691684403999328,-0.49966613379401903,-0.5082133877159295
pink,3,clustering,330.0,-29.999999999999996,70.49403438702271,2.8848641923840437,-0.44731558896694623,-0.46325179109318704
pink,3,clustering,330.0,-29.999999999999996,70.64563325529008,3.1017548011652165,-0.5823819136625531,-0.5673321371152764
pink,3,clustering,330.0,-29.999999999999996,70.72617511669202,3.0258104623290456,-0.623395654166987,-0.663982776043119
pink,3,clustering,330.0,-29.999999999999996,70.55048215858105,2.797754663315394,-0.5112538303078331,-0.5090192011350496
pink,3,clustering,330.0,-29.999999999999996,70.85754867723415,3.082373728052309,-0.5985543916609773,-0.6996708557043192
pink,3,clustering,330.0,-29.999999999999996,70.68270464976354,3.017471498978305,-0.5478903943168726,-0.6311878276148855
pink,3,clustering,330.0,-29.999999999999996,70.77207890555151,2.886074144135201,-0.5001154260267389,-0.7283888097008631
orange,3,clustering,100.0,-25.0,70.77269111141234,-3.420163026316593,-1.3275704351533792,0.4866590600618757
orange,3,clustering,100.0,-25.0,70.61595355675253,-3.196285215730896,-1.3379085670117987,0.41303616774895524
orange,3,clustering,100.0,-25.0,70.55564818469847,-2.9488189521641868,-1.4155691749061141,0.3961776864420066
orange,3,clustering,100.0,-25.0,70.53899434987171,3.057371920453488,1.6930711566103938,-0.33841498537928755
orange,3,clustering,100.0,-25.0,70.62695698813023,-2.906439382867747,-1.3590937925745306,0.5155108718683235
orange,3,clustering,100.0,-25.0,70.83724491961334,-3.148782015947952,-1.289730365399112,0.582773085807095
orange,3,clustering,100.0,-25.0,70.54619107334753,-3.0140319892920657,-1.3640050901478995,0.3977953100399082
orange,3,clustering,100.0,-25.0,70.81314686687578,-3.2930699724390395,-1.2868400509990494,0.5915753450470509
orange,3,clustering,100.0,-25.0,70.79069229524877,-3.141856310465418,-1.3563306221255873,0.5338430368310001
orange,3,clustering,100.0,-25.0,70.83969488559069,-3.399560000758902,-1.3089788981246506,0.5139523126067267
red,3,clustering,-135.0,-52.0,70.99128407606747,-3.2725992348044994,0.5681314359028723,0.9557449986763742
red,3,clustering,-135.0,-52.0,70.85324944088538,-2.959978569918091,0.6340744970262717,0.89947081988577
